,date,TICKER,PRC,RET,SHROUT
3238,12/11/2009,AAPL,201.99001,-0.006199,900678.0
3239,13/11/2009,AAPL,204.45,0.012179,900678.0
3240,16/11/2009,AAPL,206.63,0.010663,900678.0
3241,17/11/2009,AAPL,207.0,0.001791,900678.0
3242,18/11/2009,AAPL,205.96001,-0.005024,900678.0
3243,19/11/2009,AAPL,200.50999,-0.026462,900678.0
3244,20/11/2009,AAPL,199.92,-0.002942,900678.0
3245,23/11/2009,AAPL,205.88,0.029812,900678.0
3246,24/11/2009,AAPL,204.44,-0.006994,900678.0
3247,25/11/2009,AAPL,204.19,-0.001223,900678.0
3248,27/11/2009,AAPL,200.59,-0.017631,900678.0
3249,30/11/2009,AAPL,199.91,-0.003390,900678.0
3250,01/12/2009,AAPL,196.97,-0.014707,900678.0
3251,02/12/2009,AAPL,196.23,-0.003757,900678.0
3252,03/12/2009,AAPL,196.48,0.001274,900678.0
3253,04/12/2009,AAPL,193.32001,-0.016083,905349.0
3254,07/12/2009,AAPL,188.95,-0.022605,905349.0
3255,08/12/2009,AAPL,189.87,0.004869,905349.0
3256,09/12/2009,AAPL,197.8,0.041765,905349.0
3257,10/12/2009,AAPL,196.42999,-0.006926,905349.0
3258,11/12/2009,AAPL,194.67,-0.008960,905349.0
3259,14/12/2009,AAPL,196.98,0.011866,905349.0
3260,15/12/2009,AAPL,194.17,-0.014265,905349.0
3261,16/12/2009,AAPL,195.03,0.004429,905349.0
3262,17/12/2009,AAPL,191.86,-0.016254,905349.0
3263,18/12/2009,AAPL,195.42999,0.018607,905349.0
3264,21/12/2009,AAPL,198.23,0.014327,905349.0
3265,22/12/2009,AAPL,200.36,0.010745,905349.0
3266,23/12/2009,AAPL,202.10001,0.008684,905349.0
3267,24/12/2009,AAPL,209.03999,0.034339,906282.0
3268,28/12/2009,AAPL,211.61,0.012294,906282.0
3269,29/12/2009,AAPL,209.10001,-0.011861,906282.0
3270,30/12/2009,AAPL,211.64,0.012147,906282.0
3271,31/12/2009,AAPL,210.73199,-0.004290,906282.0
3272,04/01/2010,AAPL,214.00999,0.015555,906282.0
3273,05/01/2010,AAPL,214.38,0.001729,906282.0
3274,06/01/2010,AAPL,210.97,-0.015906,906282.0
3275,07/01/2010,AAPL,210.58,-0.001849,906282.0
3276,08/01/2010,AAPL,211.98,0.006648,906282.0
3277,11/01/2010,AAPL,210.11,-0.008822,906282.0
3278,12/01/2010,AAPL,207.72,-0.011375,906282.0
3279,13/01/2010,AAPL,210.64999,0.014105,906282.0
3280,14/01/2010,AAPL,209.42999,-0.005792,906282.0
3281,15/01/2010,AAPL,205.92999,-0.016712,906795.0
3282,19/01/2010,AAPL,215.03999,0.044238,906795.0
3283,20/01/2010,AAPL,211.72501,-0.015416,906795.0
3284,21/01/2010,AAPL,208.07201,-0.017254,906795.0
3285,22/01/2010,AAPL,197.75,-0.049608,906795.0
3286,25/01/2010,AAPL,203.075,0.026928,906795.0
3287,26/01/2010,AAPL,205.94,0.014108,906795.0
3288,27/01/2010,AAPL,207.884,0.009440,906795.0
3289,28/01/2010,AAPL,199.28999,-0.041340,906795.0
3290,29/01/2010,AAPL,192.063,-0.036264,906795.0
3291,01/02/2010,AAPL,194.73,0.013886,906795.0
3292,02/02/2010,AAPL,195.86,0.005803,906795.0
3293,03/02/2010,AAPL,199.23,0.017206,906795.0
3294,04/02/2010,AAPL,192.05,-0.036039,906795.0
3295,05/02/2010,AAPL,195.46001,0.017756,906795.0
3296,08/02/2010,AAPL,194.12,-0.006856,906795.0
3297,09/02/2010,AAPL,196.19,0.010664,906795.0
3298,10/02/2010,AAPL,195.116,-0.005474,906795.0
3299,11/02/2010,AAPL,198.67,0.018215,906795.0
3300,12/02/2010,AAPL,200.38,0.008607,906795.0
3301,16/02/2010,AAPL,203.39999,0.015071,906795.0
3302,17/02/2010,AAPL,202.55,-0.004179,906795.0
3303,18/02/2010,AAPL,202.92799,0.001866,906795.0
3304,19/02/2010,AAPL,201.67,-0.006199,906795.0
3305,22/02/2010,AAPL,200.416,-0.006218,906795.0
3306,23/02/2010,AAPL,197.05901,-0.016750,906795.0
3307,24/02/2010,AAPL,200.65601,0.018253,906795.0
3308,25/02/2010,AAPL,202.0,0.006698,906795.0
3309,26/02/2010,AAPL,204.62,0.012970,906795.0
3310,01/03/2010,AAPL,208.99001,0.021357,906795.0
3311,02/03/2010,AAPL,208.85001,-0.000670,906795.0
3312,03/03/2010,AAPL,209.33,0.002298,906795.0
3313,04/03/2010,AAPL,210.71001,0.006592,906795.0
3314,05/03/2010,AAPL,218.95,0.039106,906795.0
3315,08/03/2010,AAPL,219.08,0.000594,906795.0
3316,09/03/2010,AAPL,223.02,0.017984,906795.0
3317,10/03/2010,AAPL,224.84,0.008161,906795.0
3318,11/03/2010,AAPL,225.5,0.002935,906795.0
3319,12/03/2010,AAPL,226.60001,0.004878,906795.0
3320,15/03/2010,AAPL,223.84,-0.012180,906795.0
3321,16/03/2010,AAPL,224.45,0.002725,906795.0
3322,17/03/2010,AAPL,224.12,-0.001470,906795.0
3323,18/03/2010,AAPL,224.64999,0.002365,906795.0
3324,19/03/2010,AAPL,222.24989,-0.010684,906795.0
3325,22/03/2010,AAPL,224.75,0.011249,906795.0
3326,23/03/2010,AAPL,228.36,0.016062,906795.0
3327,24/03/2010,AAPL,229.37,0.004423,906795.0
3328,25/03/2010,AAPL,226.64999,-0.011859,906795.0
3329,26/03/2010,AAPL,230.89999,0.018751,909636.0
3330,29/03/2010,AAPL,232.39,0.006453,909636.0
3331,30/03/2010,AAPL,235.845,0.014867,909636.0
3332,31/03/2010,AAPL,235.0,-0.003583,909636.0
3333,01/04/2010,AAPL,235.97,0.004128,909636.0
3334,05/04/2010,AAPL,238.49001,0.010679,909636.0
3335,06/04/2010,AAPL,239.53999,0.004403,909636.0
3336,07/04/2010,AAPL,240.60001,0.004425,909636.0
3337,08/04/2010,AAPL,239.95,-0.002702,909636.0
